DIVRE,BRANCH,COVERAGE
II, DUMAI ,Kab. Rokan Hilir
II, BATAM ,Kota Batam
II, BATAM ,Kab. Lingga
II, BATAM ,Kab. Tj. Balai Karimun
II, PADANG,Kod. Padang
II, PADANG,Kab.  Kep. Mentawai
II, PADANG,Kab.  Padang Pariaman
II, PADANG,Kab.  Pesisir Selatan
II, PADANG,Kab.  Pariaman
II, BUKIT TINGGI,Kota Bukittinggi
II, BUKIT TINGGI,Kab.  Agam
II, BUKIT TINGGI,Kab.  Pasaman
II, BUKIT TINGGI,Kab. Tanah Datar
II, BUKIT TINGGI,Kab.  Limapuluh Kota
II, BUKIT TINGGI,Kota Padang Panjang
II, BUKIT TINGGI,Kota Payakumbuh
II, BUKIT TINGGI,Kab.  Pasaman Barat
II, SOLOK ,Kota Solok
II, SOLOK ,Kab.  Solok
II, SOLOK ,Kota Sawahlunto
II, SOLOK ,Kab.  Sawahlunto Sijunjung
II, SOLOK ,Kab.  Dharmasraya  
II, SOLOK ,Kab.  Solok Selatan
II, JAMBI ,Kota Jambi
II, JAMBI ,Kab. Batang Hari
II, JAMBI ,Kab. Tanjung Jabung Barat
II, JAMBI ,Kab. Tanjung Jabung Timur
II, JAMBI ,Kab. Muaro Jambi
II, BUNGO ,Kab. Bungo
II, BUNGO ,Kab.  Merangin
II, BUNGO ,"Kab.  Tebo,"
II, BUNGO , Kab.  Sungai Penuh
II, BUNGO ,Kab. Sarolangun
II, BUNGO ,Kab.  Kerinci
II,TANJUNG PINANG,Kab. Bintan
II,TANJUNG PINANG,Kota Tanjung Pinang
II,TANJUNG PINANG,Kab. Natuna
II,TANJUNG PINANG,Kab. Anambas
III, PALEMBANG  ,Kod. Palembang
III, PALEMBANG  ,Kab. Ogan Ilir
III, PALEMBANG  ,Kab. Ogan Komering Ilir
III, PALEMBANG  ,Kab. Musi Banyuasin 
III, PALEMBANG  ,Kab. Banyuasin
III, PANGKAL PINANG ,Kota Pangkalpinang
III, PANGKAL PINANG ,Kab. Bangka
III, PANGKAL PINANG ,Kab. Belitung
III, PANGKAL PINANG ,KAB. BANGKA SELATAN
III, PANGKAL PINANG ,KAB. BANGKA BARAT
III, PANGKAL PINANG ,KAB. BANGKA TENGAH
III, PANGKAL PINANG ,KAB. BELITUNG TIMUR
III, LUBUK LINGGAU,Kota Lubuk Linggau
III, LUBUK LINGGAU,KAB.Musi Rawas
III, LUBUK LINGGAU,KAB. LAHAT
III, LUBUK LINGGAU,KOTA PAGAR ALAM
III, LUBUK LINGGAU,KAB.EMPAT LAWANG
III, KOTABUMI ,Kab. Lampung Utara
III, KOTABUMI ,Kab.Lampung Barat
III, KOTABUMI ,Kab. Way Kanan
III, METRO ,Kota Metro
III, METRO ,Kab. Lampung Timur
III, METRO ,Kab. Lampung Tengah
III, METRO ,Kab. Tulang Bawang
III, METRO ,Kab. Tulang Bawang Barat
III, METRO ,Kab. Mesuji
III, BENGKULU,Kota Bengkulu
III, BENGKULU,Kab. Bengkulu Utara
III, BENGKULU,Kab. Rejang Lebong
III, BENGKULU,Kab. Bengkulu Selatan
III, BENGKULU,Kab. Muko-muko
III, BENGKULU,Kab. Seluma
III, BENGKULU,Kab. Kaur
III, BENGKULU,Kab. Kepahiang
III, BENGKULU,Kab. Lebong
III, BENGKULU,Kab. Bengkulu Tengah
III, BANDAR LAMPUNG ,Kod. Bandar Lampung
III, BANDAR LAMPUNG ,Kab. Lampung Selatan
III, BANDAR LAMPUNG ,Kab. Pringsewu
III, BANDAR LAMPUNG ,Kab. Tanggamus
III, BANDAR LAMPUNG ,Kab. Pesawaran
III, PRABUMULIH,Kod. Prabumulih
III, PRABUMULIH,KAB. MUARA ENIM
III, PRABUMULIH,KAB. OGAN KOMERING ULU
III, PRABUMULIH,KAB.OKU TIMUR
III, PRABUMULIH,KAB.OKU SELATAN
IV,JAKARTA SELATAN,Kota JAKSEL
IV,JAKARTA PUSAT ,Kota JAKPUS
IV,JAKARTA TIMUR ,Kota JAKTIM
IV,JAKARTA BARAT ,Kota JAKBAR
IV,JAKARTA UTARA ,Kota JAKUT
IV,TANGERANG ,Kota Tangerang
IV,TANGERANG ,Kab. Tangerang
IV,TANGERANG ,Kota Tangerang Selatan
IV,PONTIANAK ,Kota Pontianak
IV,PONTIANAK ,Kab.  Pontianak
IV,PONTIANAK ,Kab. Landak
IV,PONTIANAK ,Kab. Katapang
IV,PONTIANAK ,Kab. Kayong Utara
IV,PONTIANAK ,Kab. Kubu Raya
IV,SINGKAWANG ,Kota Singkawang
IV,SINGKAWANG ,Kab. Sambas
IV,SINGKAWANG ,Kab. Bengkayang
IV,SINTANG ,Kab. Sintang
IV,SINTANG ,Kab. Sanggau
IV,SINTANG ,Kab. Sakadau
IV,SINTANG ,Kab. Melawi
IV,SINTANG ,Kab. Kapuas Hulu
IV,SERANG ,Kota Serang
IV,SERANG ,Kab. Serang
IV,SERANG ,Kota Cilegon
IV,SERANG ,Kab. Pandeglang
IV,SERANG ,Kab. Lebak
IV,KHUSUS,Khusus
V,BANDUNG ,Kota Bandung
V,BANDUNG ,Kab. Cimahi
V,BANDUNG ,Kab. Bandung Barat
V,BOGOR,Kod. Bogor
V,BOGOR,Kota Depok
V,BOGOR,Kab. Bogor
V,SUKABUMI,Kod. Sukabumi
V,SUKABUMI,Kab. Sukabumi
V,SUKABUMI,Kab. Cianjur
V,KARAWANG,Kab. Karawang
V,KARAWANG,Kab. Purwakarta
V,SUMEDANG,Kab. Sumedang
V,SUMEDANG,Kab. Majalengka
V,SUMEDANG,Kab. Subang
V,CIREBON ,Kod. Cirebon
V,CIREBON ,Kab. Cirebon
V,CIREBON ,Kab. Indramayu
V,CIREBON ,Kab. Kuningan
V,TASIKMALAYA,Kota Tasikmalaya
V,TASIKMALAYA,Kab. Tasikmalaya
V,TASIKMALAYA,Kota Banjar
V,TASIKMALAYA,Kab. Garut
V,TASIKMALAYA,Kab. Ciamis
V,BEKASI,Kota Bekasi
V,BEKASI,Kab. Bekasi
V,SOREANG ,Kab. Bandung
VI,SEMARANG ,Kota Semarang
VI,SEMARANG ,KAB. SEMARANG
VI,SEMARANG ,KAB. KENDAL
VI,SEMARANG ,KAB. GROBOGAN
VI,SEMARANG ,KAB. DEMAK
VI,PEKALONGAN ,KAB. TEGAL
VI,PEKALONGAN ,KOTA TEGAL
VI,PEKALONGAN ,KAB. BREBES
VI,PEKALONGAN ,KAB. PEMALANG
VI,PEKALONGAN ,KAB. PEKALONGAN
VI,PEKALONGAN ,Kota Pekalongan
VI,PEKALONGAN ,KAB. BATANG
VI,PURWOKERTO ,Kab. Banyumas
VI,PURWOKERTO ,KAB. CILACAP
VI,PURWOKERTO ,KAB. PURBALINGGA
VI,PURWOKERTO ,KAB. BANJARNEGARA
VI,MAGELANG ,Kota Magelang
VI,MAGELANG ,KAB. MAGELANG
VI,MAGELANG ,KAB. TEMANGGUNG
VI,MAGELANG ,KAB. PURWOREJO
VI,MAGELANG ,KAB. WONOSOBO
VI,MAGELANG ,KAB. KEBUMEN
VI,BOYOLALI ,Kab. Boyolali
VI,BOYOLALI ,KOTA SALATIGA
VI,BOYOLALI ,KAB. KLATEN
VI,SURAKARTA,Kota Surakarta
VI,SURAKARTA,KAB. KARANGANYAR
VI,SURAKARTA,KAB. SRAGEN
VI,SURAKARTA,KAB. WONOGIRI
VI,SURAKARTA,KAB. SUKOHARJO
VI,KUDUS ,KAB. REMBANG
VI,KUDUS ,KAB. BLORA
VI,KUDUS ,KAB. PATI
VI,KUDUS ,Kab. Kudus
VI,KUDUS ,KAB. JEPARA
VI,YOGYAKARTA ,Kota Yogyakarta
VI,YOGYAKARTA ,KAB. SLEMAN
VI,YOGYAKARTA ,KAB. BANTUL
VI,YOGYAKARTA ,KAB. KULONPROGO
VI,YOGYAKARTA ,KAB. GUNUNG KIDUL
VII,SURABAYA ,Kota Surabaya
VII,SURABAYA ,KAB. GRESIK
VII,SURABAYA ,KAB. SIDOARJO
VII,BOJONEGORO,Kab. Bojonegoro
VII,BOJONEGORO,KAB. TUBAN
VII,BOJONEGORO,KAB. LAMONGAN
VII,MADIUN ,Kota Madiun
VII,MADIUN ,KAB. NGAWI
VII,MADIUN ,KAB. MADIUN
VII,MADIUN ,KAB. MAGETAN
VII,MADIUN ,"KAB. PONOROGO,"
VII,MADIUN , KAB. PACITAN
VII,UTAMA KEDIRI,Kota Kediri
VII,UTAMA KEDIRI,Kab. Kediri
VII,UTAMA KEDIRI,Kab. Nganjuk
VII,UTAMA KEDIRI,Kota Blitar
VII,UTAMA KEDIRI,Kab. Blitar
VII,UTAMA KEDIRI,Kab. Trenggalek
VII,UTAMA KEDIRI,Kab. Tulungagung
VII,MOJOKERTO ,Kab. Mojokerto
VII,MOJOKERTO ,Kota Mojokerto
VII,MOJOKERTO ,Kab. Jombang
VII,MALANG ,Kota Malang
VII,MALANG ,KAB. MALANG
VII,MALANG ,Kab. BATU
VII,PASURUAN ,Kota Pasuruan
VII,PASURUAN ,KOTA PROBOLINGGO
VII,PASURUAN ,KAB. PASURUAN
VII,PASURUAN ,KAB. PROBOLINGGO
VII,JEMBER ,Kab. Jember
VII,JEMBER ,KAB. LUMAJANG
VII,BANYUWANGI ,Kab. Banyuwangi
VII,BANYUWANGI ,KAB. BONDOWOSO
VII,BANYUWANGI ,KAB. SITUBONDO
VII,PAMEKASAN ,Kab. Pamekasan
VII,PAMEKASAN ,KAB. SUMENEP
VII,PAMEKASAN ,KAB. BANGKALAN
VII,PAMEKASAN ,KAB. SAMPANG
VIII,SAMARINDA ,Kota Samarinda
VIII,SAMARINDA ,Kab.Kutai Kartanegara
VIII,SAMARINDA ,Kab.Kutai Timur
VIII,SAMARINDA ,Kab.Kutai Barat
VIII,SAMARINDA ,Kota Bontang
VIII,BALIKPAPAN,Kota Balikpapan
VIII,BALIKPAPAN,Kab. Pasir
VIII,BALIKPAPAN,Kab. Penajam Paser Utara
VIII,TARAKAN ,Kota Tarakan
VIII,TARAKAN ,Kab. Berau
VIII,TARAKAN ,Kab. Bulungan
VIII,TARAKAN ,Kab. Nunukan 
VIII,TARAKAN ,Kab. Malinau
VIII,TARAKAN ,Kab. Tana Tidung
VIII,BANJARMASIN ,Kota Banjarmasin
VIII,BANJARMASIN ,Kab. Barito Kuala
VIII,BANJARMASIN ,Kota Banjarbaru 
VIII,BANJARMASIN ,Kab. Banjar
VIII,BANJARMASIN ,Kab. Tanah Laut
VIII,BANJARMASIN ,Kab. Kotabaru
VIII,BANJARMASIN ,Kab. Tanah Bumbu
VIII,BARABAI ,Kab. Hulu Sungai Tengah
VIII,BARABAI ,Kab. Tapin
VIII,BARABAI ,Kab. Hulu Sungai Selatan
VIII,BARABAI ,Kab. Hulu Sungai Utara
VIII,BARABAI ,Kab. Tabalong
VIII,BARABAI ,Kab. Balangan
VIII,PALANGKARAYA,Kota Palangkaraya
VIII,PALANGKARAYA,Kab. Kapuas
VIII,PALANGKARAYA,Kab. Pulang Pisau
VIII,PALANGKARAYA,Kab. Gunung Mas
VIII,PALANGKARAYA,Kab. Katingan
VIII,SAMPIT ,Kab. Kotawaringin Barat
VIII,SAMPIT ,Kab. Kotawaringin Timur
VIII,SAMPIT ,Kab. Seruyan
VIII,SAMPIT ,Kab. Lamandau
VIII,SAMPIT ,Kab. Sukamara
VIII,MUARA TEWEH ,Kab. Barito Utrara
VIII,MUARA TEWEH ,Kab. Barito Selatan
VIII,MUARA TEWEH ,Kab. Barito Timur
VIII,MUARA TEWEH ,Kab. Murung Raya
IX,MAKASSAR ,Kota Makassar
IX,MAKASSAR ,KAB. MAROS
IX,MAKASSAR ,KAB. Pangkajene
IX,MAKASSAR ,KAB. GOWA
IX,MAKASSAR ,KAB. TAKALAR
IX,BULUKUMBA,Kab. Bulukumba
IX,BULUKUMBA,KAB. BANTAENG
IX,BULUKUMBA,KAB. JENEPONTO
IX,BULUKUMBA,KAB. SELAYAR
IX,WATAMPONE,Kab. Bone
IX,WATAMPONE,KAB. SOPPENG
IX,WATAMPONE,KAB. SINJAI
IX,WATAMPONE,KAB. WAJO
IX,PARE - PARE,KAB. BARRU
IX,PARE - PARE,KAB. PINRANG
IX,PARE - PARE,KAB. SIDRAP
IX,PARE - PARE,KAB. ENREKANG
IX,POLEWALI  MANDAR,Kab. Polewali Mandar
IX,POLEWALI  MANDAR,Kab. Majene
IX,POLEWALI  MANDAR,Kab. Mamasa
IX,PALOPO ,Kota Palopo
IX,PALOPO ,KAB. LUWU
IX,PALOPO ,KAB. LUWU UTARA
IX,PALOPO ,KAB. LUWU TIMUR
IX,PALOPO ,KAB. TANA TORAJA
IX,PALOPO ,KAB. TORAJA UTARA
IX,KENDARI ,Kota Kendari
IX,KENDARI ,KAB. KONAWE
IX,KENDARI ,KAB. KONAWE SELATAN
IX,KENDARI ,KAB. KONAWE UTARA
IX,KENDARI ,"KAB. KOLAKA, "
IX,KENDARI ,KAB. KOLAKA UTARA
IX,KENDARI ,KAB. BOMBANA
IX,BAU-BAU ,Kota Bau-bau
IX,BAU-BAU ,KAB. WAKATOBI
IX,BAU-BAU ,KAB.MUNA
IX,BAU-BAU ,KAB. BUTON 
IX,BAU-BAU ,KAB. BUTON UTARA
IX,AMBON ,Kota Ambon
IX,AMBON ,Kab. Maluku Tenggara
IX,AMBON ,Kab.  Seram Bagian Timur
IX,AMBON ,Kab.  Maluku Tengah
IX,AMBON ,Kab.  Kepulauan Aru
IX,AMBON ,Kab. Buru Selatan
IX,AMBON ,Kab. Seram Bagian Barat
IX,AMBON ,Kota Tual
IX,AMBON ,Kab. Maluku Barat Daya
IX,MAMUJU ,Kab. Mamuju
IX,MAMUJU ,Kab. Mamuju Utara
IX,MAMUJU ,Kab. Mamuju Tengah
X,MANADO ,Kota Manado
X,MANADO ,Kota Bitung
X,MANADO ,Kab. Minahasa Utara
X,MANADO ,Kab. Kep. Talaud
X,MANADO ,Kab. Sangihe
X,GORONTALO,Kota Gorontalo
X,GORONTALO,Kab. Gorontalo Utara
X,GORONTALO,Kab. Bone Bolango
X,GORONTALO,"Kab. Pahuwato, "
X,GORONTALO,Kab. Boalemo
X,GORONTALO,Kab. Gorontalo
X,PALU ,Kota Palu
X,PALU ,Kab. Sigi Biromaru
X,PALU ,Kab. Tolitoli
X,PALU ,Kab. Parigi Moutong
X,PALU ,Kab. Buol
X,PALU ,Kab. Donggala
X,LUWUK ,Kab. Luwuk
X,LUWUK ,Kab. Banggai
X,LUWUK ,Kab. Morowali
X,LUWUK ,Kab. Tojo Una-una
X,LUWUK ,Kab. Banggai Kepulauan
X,LUWUK ,Kab. Poso
X,TERNATE,Kota Ternate
X,TERNATE,Kab. Kepulauan Sula
X,TERNATE,Kab. Morotai
X,TERNATE,Kab. Halmahera Utara
X,TERNATE,Kota Tidore Kepulauan
X,TERNATE,Kab. Halmahera Barat
X,TERNATE,Kab. Halmahera Selatan
X,TERNATE,Kab. Halmahera Tengah
X,TERNATE,Kab. Halmahera Timur
X,TONDANO,Kab. Minahasa
X,TONDANO,Kab. Minahasa Selatan
X,TONDANO,Kab. Minahasa Tenggara
X,TONDANO,Kota Tomohon
X,TONDANO,Kota Kotamobagu
X,TONDANO,Kab. Bolaang Mongondow
X,TONDANO,Kab. Bolaang Mongondow Selatan
X,TONDANO,Kab. Bolaang Mongondow Timur
X,TONDANO,Kab. Bolaang Mongondow Utara
XI,DENPASAR ,Kota Denpasar
XI,DENPASAR ,Kab. Buleleng
XI,DENPASAR ,Kab. Badung
XI,DENPASAR ,Kab. Tabanan
XI,KLUNGKUNG ,Kab. Klungkung
XI,KLUNGKUNG ,Kab. Gianyar
XI,KLUNGKUNG ,Kab. Bangli
XI,KLUNGKUNG ,Kab. Karangasem
XI,MATARAM ,Kota Mataram
XI,MATARAM ,Kab. Lombok Barat
XI,MATARAM ,Kab. Lombok Timur
XI,MATARAM ,Kab. Lombok Tengah
XI,MATARAM ,Kab. Lombok Utara
XI,KUPANG ,Kod. Kupang
XI,KUPANG ,Kab. Kupang
XI,KUPANG ,Kab. Timor Tengah Selatan
XI,KUPANG ,Kab. Alor
XI,KUPANG ,Kab. Timor Tengah Utara
XI,KUPANG ,Kab. Belu
XI,KUPANG ,Kab. Rotendao
XI,KUPANG ,Kab. Sabu Raijua
XI,MAUMERE ,Kab. Sikka
XI,MAUMERE ,Kab. Lembata
XI,MAUMERE ,Kab. Folres Timur
XI,ENDE ,Kab. Ende
XI,ENDE ,Kab. Ngada
XI,ENDE ,Kab. Manggarai
XI,ENDE ,Kab. Manggarai Barat
XI,ENDE ,Kab. Manggarai Timur
XI,WAINGAPU,Kab. Sumba Timur
XI,WAINGAPU,Kab. Sumba Barat Daya
XI,WAINGAPU,Kab. Sumba Barat
XI,WAINGAPU,Kab. Sumba Tengah
XI,BIMA ,Kod. Bima
XI,BIMA ,Kab. Bima
XI,BIMA ,Kab. Dompu
XI,BIMA ,Kab. Sumbawa
XI,BIMA ,Kab. Sumbawa Barat
XI,SINGARAJA ,Kab. Jembrana
XII,JAYAPURA ,Kab. Jayapura
XII,JAYAPURA ,Kota Jayapura
XII,JAYAPURA ,Kab. Jayawijaya
XII,JAYAPURA ,Kab. Mimika
XII,JAYAPURA ,Kab. Keerom
XII,JAYAPURA ,Kab. Sarmi
XII,JAYAPURA ,Kab. Puncak Jaya
XII,JAYAPURA ,Kab. Pegunungan Bintang
XII,JAYAPURA ,Kab. Yahukimo
XII,JAYAPURA ,Kab. Mappi
XII,JAYAPURA ,Kab. Asmat
XII,JAYAPURA ,Kab. Bouven Digoel
XII,JAYAPURA ,Kab. Yalimo
XII,JAYAPURA ,Kab. Lanny Jaya
XII,JAYAPURA ,Kab. Nduga
XII,JAYAPURA ,Kab. Puncak
XII,JAYAPURA ,Kab. Mamberamo Tengah
XII,JAYAPURA ,Kab. Tolikara
XII,SORONG ,Kab. Sorong
XII,SORONG ,Kota Sorong
XII,SORONG ,Kab. Raja Ampat
XII,SORONG ,Kab. Sorong Selatan
XII,BIAK NUMFOR,Kab. Biak Numfor
XII,BIAK NUMFOR,Kab. Supiori
XII,BIAK NUMFOR,Kab. Nabire
XII,BIAK NUMFOR,Kab. Yapen
XII,BIAK NUMFOR,Kab. Waropen
XII,BIAK NUMFOR,Kab. Memberamo Raya
XII,BIAK NUMFOR,Kab. Paniai
XII,BIAK NUMFOR,Kab. Dogiyai
XII,MERAUKE ,Kab. Merauke
XII,MANOKWARI ,Kab. Manokwari
XII,MANOKWARI ,Kab. Fakfak
XII,MANOKWARI ,Kab. Kaimana
XII,MANOKWARI ,Kab. Teluk Bintuni
XII,MANOKWARI ,Kab. Teluk Wondama
